,word,adult_definition,kids_definition,simplified,similarity
45,biosphere,'That part of the Earth and atmosphere capable of supporting living organisms.','the part of the earth’s surface and atmosphere in which plants and animals can live',"'the air and ground where plants and animals can live'  (using words 'air', 'ground', 'where', 'plants', 'animals', 'can', 'live').",0.76030135
46,biotechnology,'A combination of biology and technology. It is used to describe developments in the application of biological organisms for commercial and scientific purposes.','the use of living cells and bacteria in industrial and scientific processes',People use living cells and bacteria for work and science.,0.7637346
47,boating,'To travel or go in a boat as a form of recreation.','the activity of using a small boat for pleasure','going on a little boat for fun'.,0.7935525
48,boiler,'An enclosed vessel in which water is heated and circulated either as hot water or as steam for heating or power.','a container in which water is heated to provide hot water and heating in a building or to produce steam in an engine',A kettle is a thing that makes hot water in a house or steam in an engine.,0.8661622
49,bookkeeping,'The art or science of recording business accounts and transactions.','the job or activity of keeping an accurate record of the accounts of a business','the job of keeping an accurate record of business accounts' ,0.9187951
50,boron,'A very hard almost colourless crystalline metalloid element that in impure form exists as a brown amorphous powder. It occurs principally in borax and is used in hardening steel.','a chemical element. Boron is a solid substance used in making steel alloys and parts for nuclear reactors.',Boron is a solid used in making steel and nuclear reactors.,0.850049
51,botany,'A branch of the biological sciences which embraces the study of plants and plant life.','the scientific study of plants and their structure','the study of plants and their parts' ,0.95840394
52,bromine,'A pungent dark red volatile liquid element (symbol Br atomic number 35) of the halogen series that occurs in brine and is used in the production of chemicals.','a chemical element. Bromine is a dark red poisonous liquid and has a very strong unpleasant smell. It is mainly found in the form of salts in seawater.',Bromine is a bad-smelling liquid found in seawater.,0.84815824
53,brooding,'Incubating eggs by sitting on them.','sad and mysterious or threatening',The forest felt sad and strange or scary.,0.68462986
54,cadmium,'Chemical element with symbol Cd and atomic number 48 silvery gray transition metal.','a chemical element. Cadmium is a soft poisonous blue-white metal that is used in batteries and nuclear reactors.',"A metal called cadmium is soft, poisonous and blue-white. It is used in batteries and reactors.",0.8804743
55,calcium,'A malleable silvery-white metallic element of the alkaline earth group with symbol Ca and atomic number 20; the fifth most abundant element in the earth crust occurring especially as forms of calcium carbonate. It is an essential constituent of bones and teeth and is used as a deoxidizer in steel.','a chemical element. Calcium is a soft silver-white metal that is found in bones teeth and chalk.',Calcium is a soft metal found in bones teeth and chalk.,0.8547865
56,carbonate,'A salt or ester of carbonic acid.','a salt that contains carbon and oxygen together with another chemical','a salt that has carbon and oxygen with another chemical',0.9684953
57,cardiology,'The branch of medicine that studies the heart.','the study and treatment of heart diseases',Heart disease was a major part of the program.,0.6366432
58,carnivore,'An animal that eats meat.','any animal that eats meat',Animal that eats meat.,0.788821
59,cartography,'The making of maps and charts for the purpose of visualizing spatial distributions over various areas of the earth.','the art or process of drawing or making maps',The art of drawing or making maps.,0.8604404
60,catalysis,'A phenomenon in which a relatively small amount of substance augments the rate of a chemical reaction without itself being consumed.','an increase in the rate of a chemical reaction that is cause by a substance called a catalyst',Something called a catalyst makes a chemical reaction go faster.,0.8189669
61,cation,'A positively charged atom or group of atoms or a radical which moves to the negative pole (cathode) during electrolysis.','an ion with a positive electrical charge','a positively charged ion'.,0.8359253
62,cattle,'Domesticated bovine animals including cows steers and bulls raised and bred on a ranch or farm.','cows and bulls that are kept as farm animals for their milk or meat',Animals like cows and bulls are kept on farms for milk and meat.,0.8283193
63,cave,'1) An underground hollow with access from the ground surface or from the sea often found in limestone areas and on rocky coastlines.\2) A natural cavity chamber or recess which leads beneath the surface of the earth generally in a horizontal or obliquely inclined direction. It may be in the form of a passage or a gallery its shape depending in part on the joint pattern or structure of the rock and partly on the type of process involved in its excavation. Thus caves worn by subterranean rivers may be different in character from and of considerably greater extent than a sea-cave eroded by marine waves.\3) A natural underground open space generally with a connection to the surface and large enough for a person to enter. The most common type of cave is formed in a limestone by dissolution.','a large hole in the side of a hill or cliff or under the ground',"A big hole in a hill, cliff or underground.",0.8755508
64,cephalopod,'Exclusively marine animals constituting the most advanced class of the Mollusca including squid octopuses and Nautilus.','a type of mollusc with a combined head and body and large eyes. Cephalopods have arms and/or tentacles (= long thin parts like arms) which may have suckers (= round parts that enable them to stick to a surface) on them. Octopus and squid are cephalopods.',"Cephalopods are a type of mollusc with big eyes, arms, and/or tentacles which have suckers.",0.9035475
65,cetacean,'Order of aquatic mammals including the whales dolphins and porpoises.','connected with the group of creatures that includes whales and dolphins',Whales and dolphins are in a group of creatures together.,0.77532446
66,chloride,'A compound which is derived from hydrochloric acid and contains the chlorine atom in the -1 oxidation state.','a compound of chlorine and another chemical element','a mix of chlorine and another thing' ,0.87689054
67,chlorination,'The application of chlorine to water sewage or industrial wastes for disinfection or other biological or chemical purposes.','the act of putting chlorine in something especially water',The act of putting chlorine in water.,0.8719201
68,chlorine,'A very reactive and highly toxic green gaseous element belonging to the halogen family of substances with symbol Cl and atomic number 17.','a chemical element. Chlorine is a poisonous green gas with a strong smell. It is often used in swimming pools to keep the water clean.',Chlorine is a bad green gas. It smells bad. We use it in pools to keep the water clean.,0.8883654
69,chlorofluorocarbon,'Gases formed of chlorine fluorine and carbon whose molecules normally do not react with other substances; they are therefore used as spray can propellants because they do not alter the material being sprayed.','a CFC; a compound containing carbon fluorine and chlorine that is harmful to the ozone layer',a CFC is a bad substance that hurts the air around Earth.,0.7597178
70,chlorophyll,'A green pigment present in algae and higher plants that absorbs light energy and thus plays a vital role in photosynthesis.','the green substance in plants that takes in light from the sun to help them grow',the green stuff in plants that helps them grow with sunlight.,0.88982093
71,chromatography,'A method of separating and analyzing mixtures of chemical substances by selective adsorption in a column of powder or on a strip of paper.','the process of separating a mixture by passing it through a material through which some parts of the mixture travel further than others',Separating a mixture by passing it through a material that lets some parts travel further than others.,0.92100924
72,chromium,'A hard grey metallic element that takes a high polish occurring principally in chromite: used in steel alloys and electroplating to increase hardness and corrosion-resistance.','a chemical element. Chromium is a hard grey metal that shines brightly when polished (= made smooth and shiny by being rubbed) and is often used to cover other metals in order to prevent them from rusting.',Chromium is a hard grey metal that shines brightly when polished and helps prevent other metals from rusting.,0.919799
73,climatology,'That branch of meteorology concerned with the mean physical state of the atmosphere together with its statistical variations in both space and time as reflected in the weather behaviour over a period of many years.','the scientific study of climate','study of weather' ,0.8922316
74,coagulation,'A separation or precipitation from a dispersed state of suspended particles resulting from their growth.','the process of a liquid becoming thick and partly solid',A liquid becomes thick and partly solid.,0.8217368
75,coating,'A material applied onto or impregnated into a substrate for protective decorative or functional purposes. Such materials include but are not limited to paints varnishes sealers adhesives thinners diluents and inks.','a thin layer of a substance covering a surface',a thin layer covers a surface.,0.81730896
76,cockroach,'The most primitive of the living winged insects.','a large brown insect with wings that lives in houses especially where there is dirt',A big brown bug with wings in dirty houses.,0.8407488
77,compost,'A mixture of decaying organic matter used to fertilize and condition the soil.','a mixture of decayed (= destroyed by natural processes) plants food etc. that can be added to soil to help plants grow','a mix of old plants and food that helps plants grow'.,0.84627485
78,compressor,'A device that produces pressure.','a machine that compresses air or other gases',a machine that squishes air.,0.754621
79,conductivity,'The ratio of the electric current density to the electric field in a material.','the quality of being able to conduct electricity heat etc.',It can carry heat and electricity.,0.6698581
80,conifer,'An order of conebearing plants which includes nearly all the present day Gymnospermae. Most are tall evergreen trees with needle-like (e.g. pines) linear (e.g. firs) or scale-like (e.g. cedars) leaves. They are characteristic of temperate zones and the main forest trees of colder regions. They provide timber resins tars turpentine and pulp for paper.','any tree that produces hard dry fruit called cones. Most conifers are evergreen (= have leaves that stay on the tree all year).',Trees that have cones are usually evergreen.,0.8055294
81,coppice,'A growth of small trees that are repeatedly cut down at short intervals; the new shoots are produced by the old stumps.','to cut back young trees in order to make them grow faster',They cut back young trees to help them grow faster.,0.8557666
82,corrosion,'A process in which a solid especially a metal is eaten away and changed by a chemical action.','the process of destroying something slowly especially by chemical action; the condition that results from this process',"The process of breaking something down slowly, like with chemicals, and what happens when it does.",0.81928784
83,criminality,'A violation of the law punishable by the State in criminal proceedings.','the fact of people being involved in crime; criminal acts','people did bad things' ,0.7402556
84,crustacean,'A subphylum of arthropod animals having jointed feet and mandibles two pairs of antennae and segmented chitin-encased bodies.','any creature with a soft body that is divided into sections and a hard outer shell. Most crustaceans live in water. Crabs lobsters and shrimps are all crustaceans.',"Crustaceans are animals with soft bodies and hard outer shells. They often live in water and include crabs, lobsters, and shrimps.",0.88887304
85,crystallography,'The branch of science that deals with the geometric description of crystals and their internal arrangement.','the branch of science that deals with crystals',The study of crystals is a branch of science.,0.7149712
86,curriculum,'The aggregate of courses of study provided in a particular school college university adult education program technical institution or some other educational program.','the subjects that are included in a course of study or taught in a school college etc.',Things taught in school.,0.64920557
87,cytology,'A branch of the biological sciences which deals with the structure behaviour growth and reproduction of cells and the functions and chemistry of cell components.','the scientific study of the structure and function of cells from living things',The study of cells from living things.,0.8571917
88,dating,'An estimation of the age of an artifact biological vestige linguistic usage etc.','the activity of having a romantic relationship with somebody or meeting people who you might in future have a romantic relationship with ',Going out with someone or meeting new people you might like.,0.8001931
89,decontamination,'The removing or neutralizing of chemical biological or radiological contamination from a person object or area.','the process of removing harmful substances from a place or thing',Take away bad things from a place or thing.,0.7958978
90,deer,'The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.','an animal with long legs that eats grass leaves etc. and can run fast. Most male deer have antlers (= parts on their heads that are like branches in shape). There are many types of deer.',A deer is an animal with long legs that eats grass and runs fast. Most boy deer have antlers on their heads. There are many kinds of deer.,0.9196895
91,defoliation,'The drop of foliage from plants caused by herbicides such as Agent Orange diuron triazines all of which interfere with photosynthesis.','the act of destroying the leaves of trees or plants especially with chemicals','killing leaves of trees or plants with chemicals' ,0.93537796
92,deforestation,'The removal of forest and undergrowth to increase the surface of arable land or to use the timber for construction or industrial purposes.','the act of cutting down or burning the trees in an area',Cutting or burning trees in an area.,0.77117693
93,dendrochronology,'The science of dating the age of a tree by studying annual growth rings.','the study of the rings that appear each year in tree trunks used as a way of calculating the dates of particular events',We use the rings in tree trunks to figure out when things happened.,0.7549114
94,denitrification,'The loss of nitrogen from soil by biological or chemical means.','the process of removing nitrates or nitrites from something especially from soil air or water',"The process of taking away bad things like nitrates from soil, air or water.",0.86881864
95,deregulation,'The removal or relaxation of government control over the economic activities of some commercial entity industry or economic sector.','the process of making a trade business activity etc. free from rules and controls ',Making business deals without rules and controls is free.,0.8307891
96,desertification,'The development of desert conditions as a result of human activity or climatic changes.','the process of becoming or making something a desert','to make something a desert'.,0.87071633
97,detector,'A mechanical electrical or chemical device that automatically identifies and records or registers a stimulus such as an environmental change in pressure or temperature an electrical signal or radiation from a radioactive material.','a piece of equipment for discovering the presence of something such as metal smoke explosives or changes in pressure or temperature',"a tool to find things like metal, smoke, or changes in pressure or temperature.",0.8465438
98,dioxin,'A heterocyclic and aromatic molecule where two carbon atoms have been substituted by oxygen atoms.','a chemical (with a ring structure containing two oxygen atoms) that is formed as a result of some industrial processes. Dioxins are toxic (= poisonous) and cause harm to the environment.',Dioxins are bad for the environment and very poisonous.,0.78949535
99,disinfectant,'An agent such as heat radiation or a chemical that disinfects by destroying neutralizing or inhibiting the growth of disease-carrying microorganisms.','a substance that kills bacteria used for cleaning',A special liquid that kills germs used for cleaning.,0.84475905
100,dispersion,'A distribution of finely divided particles in a medium.','the process by which people or things are spread over a wide area',the way things spread out over a big area.,0.7664288
101,ditch,'A long narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway channel or trench for conveying water for drainage or irrigation and usually smaller than a canal. Some ditches may be natural watercourses.','a long channel dug at the side of a field or road to hold or take away water',A special ditch made at the side of a field or road to carry away water.,0.8819804
102,dosage,'The amount of a substance required to produce an effect.','the amount of a medicine or drug that is taken regularly and how often it is taken',How much medicine to take and how often.,0.7553225
103,dragonfly,'Any of the insects composing six families of the suborder Anisoptera and having four large membranous wings and compound eyes that provide keen vision.','an insect with a long thin body often brightly coloured and two pairs of large transparent wings. Dragonflies are often seen over water.',A dragonfly is an insect with a long thin body and four big wings. You see them over water.,0.8335368
104,dune,'A low mound ridge bank or hill of loose windblown granular material (generally sand sometimes volcanic ash) either bare or covered with vegetation capable of movement from place but always retaining its characteristic shape.','a small hill of sand formed by the wind near the sea or in a desert',A small hill of sand made by wind near sea or desert.,0.88969874
105,earthquake,'The violent shaking of the ground produced by deep seismic waves originating from the epicentre.','a sudden violent shaking of the earth’s surface',a sudden strong shaking of the ground.,0.72395146
106,earthworm,'Any of numerous oligochaete worms of the suborder Lumbricina which burrow in the soil and help aerate and break up the ground.','a common long thin worm that lives in soil',"'a long, thin worm lives in soil' ",0.9157795
107,earwig,'Any of various insects of the order Dermaptera which typically have an elongated body with small leathery forewings semicircular membranous hindwings and curved forceps at the tip of the abdomen.','a small brown insect with a long body and two curved pointed parts called pincers that stick out at the back end of its body',a small brown insect with a long body and two curved parts that stick out at its back.,0.90935993
108,ecology,'The study of the interrelationships between living organisms and their environment.','the relation of plants and living creatures to each other and to their environment; the study of this',"The girl looked at the plants, animals, and bugs in the forest with quiet attention, as if she were listening to a story.",0.62007093
109,ecosystem,'A community of organisms and their physical environment interacting as an ecological unit.','all the plants and living creatures in a particular area considered in relation to their physical environment',All the plants and animals in one place looked at together with their home. ,0.7206347
110,ecotourism,'Excursions to relatively untouched lands which for the tourist promise the chance to observe unusual wildlife and indigenous inhabitants.','organized holidays that are designed so that the tourists damage the environment as little as possible especially when some of the money they pay is used to protect the local environment and animals',"People plan holidays that don't harm the environment much, and some of the money goes to protect local animals and their homes.",0.8698653
111,ecotype,'Species that has special characteristics which allow it to live in a certain habitat.','the type or race of a plant or animal that has adapted to live in particular local conditions',The kind of plant or animal that lives in a special place.,0.8131527
112,effluent,'Liquid waste or sewage discharged into a river or the sea.','liquid waste especially chemicals produced by factories or sewage',Waste from factories and sewage is very bad.,0.7918071
113,elasticity,'Ability of a material to return to original dimensions after deformation.','the quality that something has of being able to stretch and return to its original size and shape (= of being elastic)',The quality that something can stretch and go back to its original shape is elasticity.,0.9087844
114,emancipation,'The state of being free from social or political restraint or from the inhibition of moral or social conventions.','the act of freeing somebody especially from legal political or social controls that limit what they can do','to set someone free from rules that stop them from doing things'.,0.8569116
115,endocrinology,'The study of the endocrine glands and the hormones that they synthesize and secrete.','the branch of medicine that is the study of the endocrine system and hormones',The part of medicine that looks at the body's endocrine system and hormones.,0.8542592
116,enforcement,'The execution carrying out or putting into effect an order regulation law or official decree.','the act of making people obey a particular law or rule',Making people obey a rule is called 'the act'.,0.8235058
117,enzyme,'Any of a group of catalytic proteins that are produced by living cells and that mediate and promote the chemical processes of life without themselves being altered or destroyed.','a substance that is produced by all living things and that helps a chemical change happen or happen more quickly without being changed itself',Something that all living things make and that helps change things happen faster.,0.8407319
118,epidemiology,'The study of the occurrence and distribution of disease and injury specified by person place and time.','the scientific study of the spread and control of diseases','the study of how diseases spread and are controlled',0.9067956
119,equine,'An animal belonging to the family of Equidae.','connected with horses; like a horse','like a horse',0.86883235
120,ergonomics,'The study of human capability and psychology in relation to the working environment and the equipment operated by the worker.','the study of working conditions especially the design of equipment and furniture in order to help people work more efficiently',"The study of working conditions, especially the design of equipment and furniture, helps people work more efficiently.",0.8997149
121,ethnology,'The science that deals with the study of the origin distribution and relations of races or ethnic groups of mankind.','the study of the characteristics of different peoples and the differences and relationships between them',Learning about different kinds of people and how they are alike or different.,0.71614754
122,eutrophication,'A process of pollution that occurs when a lake or stream becomes over-rich in plant nutrient and as a consequence becomes overgrown in algae and other aquatic plants.','the process of too many plants growing on the surface of a river lake etc. often because chemicals that are used to help crops grow have been carried there by rain',Many plants grew on the river's surface because of chemicals that helped crops grow. ,0.79373246
123,evaluation,'An assessment or a summary of a particular situation.','the act of forming an opinion of the amount value or quality of something after thinking about it carefully',the act of making a guess about how good or bad something is after thinking about it carefully.,0.83193886
124,famine,'A severe shortage of food as through crop failure or over population. It may be due to poor harvests following drought floods earthquake war social conflict etc.','a lack of food during a long period of time in a region','a long time without food in a place'.,0.81407833
125,fauna,'The entire animal life of a given region habitat or geological stratum.','all the animals living in an area or in a particular period of history',All animals living in an area or in a time.,0.88643485
126,fen,'Waterlogged spongy ground containing alkaline decaying vegetation characterized by reeds that may develop into peat. It sometimes occurs in the sinkholes of karst region.','an area of low flat wet land especially in the east of England','flat land in eastern England',0.84584576
127,fermentation,'Any enzymatic transformation of organic substrates especially carbohydrates generally accompanied by the evolution of gas.','the process of chemical change caused by the action of yeast or bacteria often changing sugar to alcohol',Yeast or bacteria can change sugar into alcohol.,0.76914763
128,fern,'Any of a large number of vascular plants composing the division Polypodiophyta without flowers and fruits.','a plant with large attractive leaves and no flowers that grows in wet areas or is grown in a pot. There are many types of fern.',Fern is a plant with large leaves that grows in wet places or in a pot.,0.9046463
129,financing,'Procurement of monetary resources or credit to operate a business or acquire assets.','money used to run a business an activity or a project',We use money to run a business or a project.,0.7763348
130,flooding,'A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters and/or the unusual and rapid accumulation or runoff of surface waters from any source.','large amounts of water covering an area that is usually dry; the fact of this happening',much water in a dry place; it happened.,0.7098395
131,fluoridation,'The addition of the fluorine ion to municipal water supplies in a final concentration of 0.8-1.6 ppm (parts per million) to help prevent dental caries in children.','the practice of adding fluoride to drinking water to prevent tooth decay (= damage from natural causes or lack of care)',They add fluoride to water to stop teeth from getting bad.,0.76449955
132,fluorine,'A gaseous chemical element with symbol F and atomic number 9; a member of the halide family it is the most electronegative element and the most chemically energetic of the nonmetallic elements; highly toxic and corrosive; used in rocket fuels and as a chemical intermediate.','a chemical element. Fluorine is a poisonous pale yellow gas and is very reactive.',Fluorine is a poisonous gas.,0.78884286
133,foliage,'The leaves of a plant together.','the leaves of a tree or plant; leaves and branches together',The tree's leaves and branches.,0.74023247
134,foodstuff,'A substance that can be used or prepared for use as food.','any substance that is used as food',food is something people eat.,0.64515615
135,forecast,'An estimate of a future condition.','a statement about what will happen in the future based on information that is available now',a guess about what will happen next based on what we know now.,0.824016
136,forestry,'The management of forest lands for wood forages water wildlife and recreation.','the science or practice of planting and taking care of trees and forests',The art of growing and caring for trees and woods.,0.80687773
137,fumigation,'The use of a chemical compound in a gaseous state to kill insects nematodes arachnids rodents weeds and fungi in confined or inaccessible locations; also used to control weeds nematodes and insects in the field.','the use of special chemicals smoke or gas to destroy the harmful insects or bacteria in a place',People used special chemicals to kill bad insects or germs in a place.,0.8063932
138,fungicide,'A chemical used to kill or halt the development of fungi that cause plant disease.','a substance that kills fungus','a thing that kills fungus'.,0.87066436
139,gasohol,'A mixture of 80% or 90% petrol with 20% or 10% ethyl alcohol for use as a fuel in internal combustion engines.','a mixture of petrol and alcohol that can be used in cars',a special fuel for cars.,0.7712277
140,gastropod,'Any mollusc of the class Gastropoda typically having a flattened muscular foot for locomotion and a head that bears stalked eyes.','a mollusc such as a snail or slug that moves on one large foot',A snail or slug moves on one big foot.,0.79190195
